PK_CLIENTE,costumerkey,address_number,business_family,business_unit,city,costumer,costumer_address_1,costumer_address_2,costumer_address_3,costumer_address_4,costumer_type,country,division,division_name,line_of_business,phone,regional_sales_mgr,search_type,state,zip_code
048543f60005ac890262a22eb123cfba6f016179b3c60662eccb384102058064,10010717,10010717,R2,1,Waterville,East Shop,208 W Main,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S5,C,KS,66548
048cf02035971a87537686d5d96751ec33210b11c986f8b70f126a7732cb5987,10009985,10009985,R3,1,West Jordan,E Supermarket,PO Drawer 40,Não informado,Não informado,Não informado,G2,US,2,Domestic,M1,816-455-8733,S16,C,UT,84084
04d8136d0c945a816c33af58406bc52db9116c5022c0e4f9c563cfaea051b570,10025549,10025549,R2,1,Shady Grove,UNIS Supermarket,PO Box 21,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S5,C,PA,0
052d5eae8f03fd3acc22110e209b44b522145c3a90efa8913505cf8acb25d6a9,10021418,10021418,R3,1,Wheatridge,Panzl Shop,10930 West 44th Avenue,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S1,C,CO,80033
0537901ee1ac87188055b749c8adcb55c56a5e2e6c18ccb44d69e05886aefa82,10000474,10000474,R2,1,Des Moines,A-ARVIN Store,PO Box 3265,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S9,C,IA,50316
05eefc432693867bc7c2157c48af6bf5c4f660a335cf73317da9819e7aab5d1f,10027082,10027082,R3,1,Edmonton,ySecret Shop,9111 41 Avenue,Não informado,Não informado,Não informado,G3,CA,1,International,Não informado,816-455-8733,S5,C,AB,0
06464c9d7826b5764475b87c2273aac447de62706c8e2ebea17aaaff0eb9c838,10019388,10019388,R3,1,Ft Collins,KeyComm Shop,1101 N College Avenue,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S1,C,CO,80524
064d6b1cd272187043a983475e330522608880984615b1401dd15784d540beb0,10021804,0,R3,1,Não informado,Picka Superstore,Não informado,Não informado,Não informado,Não informado,G2,Não informado,1,International,Não informado,816-455-8733,S1,C,Não informado,0
06d5733f3eeb790650ea072528c919d3d45499ff432f3541706c594c3befad96,10025583,10025583,R2,1,Nesquehoning,United Market,One Industrial Complex,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S5,C,PA,18240
06ef2084807094222c0485282161920291fc8e4ccaeaa4a33b34df2d9583fa7a,10007268,0,R3,1,Não informado,Cabco Supermarket,Não informado,Não informado,Não informado,Não informado,G2,Não informado,1,International,Não informado,816-455-8733,S11,I,Não informado,0
079e1d14f951d9d1dbfe6d3467336cf801527ff6da9aae7adacaddda74abe0da,10025023,10025023,R3,1,Saskatoon,TAL Store,815 Circle Drive East,Não informado,Não informado,Não informado,G3,CA,1,International,Não informado,816-455-8733,S5,C,SK,0
081120ea98c01ff3bce11c4e6fa05ae7893662bd39a5c2f5755ecdcb23e02e0d,10024248,10024248,R3,1,Portland,Sifton Supermarket,9440 North Whitaker Road,Não informado,Não informado,Não informado,G2,US,2,Domestic,M1,816-455-8733,S16,C,OR,97217
08abeef1886f1486ee8378942c7a3fee6785424449429b78e407480dd6d902b0,10025036,10025036,R3,1,Kansas City,Tampa Market,1920 East Front Street,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S9,C,MO,0
090f5eacade022068a56cb56bd07032fd98a3f470802724fcbcd59925fe305d5,10023524,10023524,R3,1,Clemson,Salias Gigaplace,PO Box 1006,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S16,C,SC,29633
0943c15218a0f79ebb9c7267fcaf10f3ca1ab7a2967a844f23d17c4fc5d3cbd7,10014047,10014047,R2,1,Fresno,Gulf Market,1510 Merced Street,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S4,C,CA,93706
09464c58f6b17cf3fc59c3c9342f06eb5ff19c5113918a44be7635c05e379e37,10012369,0,R3,1,Não informado,Finest Supermarket,Não informado,Não informado,Não informado,Não informado,G2,Não informado,1,International,Não informado,816-455-8733,S4,C,Não informado,0
0979870c7be8e1214fc7ebbe39a206c4c9ad89b969c046e6b49f7a963fc8f866,10019410,10019410,R1,1,Edmonton,Keystone Store,6710 76 Avenue,Não informado,Não informado,Não informado,G3,CA,1,International,Não informado,816-455-8733,S2,C,AB,0
09d2bf1a5ca63dcf3a61e2515002e1ce79cdd6df1bd85ebf7da76b7b3cf55cfd,10013238,10013238,R1,1,Janesville,Gastown Store,PO Box 5222,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S11,C,WI,0
09e90bc0f2a9894492f3ac004ac31a2ce4e16f5d4fa9c6531b2576becccd99cf,10021575,0,R3,1,Não informado,Parian Market,Não informado,Não informado,Não informado,Não informado,G2,Não informado,1,International,Não informado,816-455-8733,S1,C,Não informado,0
0a81a92b44a726ebeadb278d75995f0d4df43c36abb0e3e5a037ae399600d8f9,10009356,10009356,R1,1,Cape Girardeau,Central Supermarket,Global Motorsport Parts Inc,PO Box 1179,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S11,C,MO,63702
0afbd2c43d07e02d98df3f68cedca6897cd5642a5b51d05282e135c8ad7b09a6,10021380,0,R3,1,Não informado,Pangaea Store,Não informado,Não informado,Não informado,Não informado,G2,Não informado,1,International,Não informado,816-455-8733,S9,C,Não informado,0
0b3e2fc43d62bf6aebbfba5651d771fec867e6848ae7eb208b73d4b44480a888,10012234,10012234,R3,1,Hayward,Filmotype Shop,PO Box 4658,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S16,C,CA,94540
0b453b1633ba9c70e3a0e700adc2988a480aac9cbcf245927708ec1f72c4dd33,10003749,0,R3,1,Não informado,Associates Shop,Não informado,Não informado,Não informado,Não informado,G1,Não informado,1,International,M1,816-455-8733,S19,C,Não informado,0
0bca9d353b5f2c84c554d63986a3f32eb6b1271fa652ab6adbae77951c15532a,10011918,10011918,R3,1,Não informado,Ferrari Shop,Não informado,Não informado,Não informado,Não informado,G2,UK,1,International,Não informado,816-455-8733,S16,I,Não informado,0
0c0a758b1f4abac699c2e1ab21b789920b33201367cdcacf4e16623bd4be96b9,10016549,10016549,R3,1,Jacksonville,Home Store,PO Box 6307,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S16,C,FL,32236
0ce9b0218835b1ce38359265b6758a821835bf65563e73f3eee670ace1101e2b,10002128,0,R3,1,Não informado,Access Store,Não informado,Não informado,Não informado,Não informado,G1,Não informado,1,International,M1,816-455-8733,S19,C,Não informado,0
0d2ccd9d76f0ce2f98b004e9adf614735dcfae44a78acc346dcb73dde6cc2183,10020931,10020931,R2,1,Bozeman,OutPost Market,PO Box 549,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S5,C,MT,59715
0e0167985adf7efc7e99e7be89dd62062dd4fd2acf5e292e6fcc9b9cd8596fa1,10024003,10024003,R2,1,Benicia,Scientific Supermarket,Attention:  Accounts Payable,5500 East Second Street 2nd Floor,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S3,C,CA,0
0e943ca09d9d116b82f2033cf8f722e81705cc9efcfc43065c016930f86ef537,10000472,10000472,R3,1,Van Nuys,Aaron Store,8000 Haskell Avenue,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S4,C,CA,91406
0ee4c943fe24b02c7853c7094080e91ef51a7992287238774968b49cd125acdd,10009672,10009672,R3,1,Phoenix,DEAC Shop,Attention: Accounts Payable,PO Box 21502,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S16,C,AZ,85036
103554f31901a64ba1c8cd5e98bf799be38dd38f7fef5a4f6b2530128eb921f4,10020184,10020184,O2,1,Smyrna,Matradi Megastore,Corporation USA,Nissan Drive,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S12,C,TN,37167
110dc8bc809dfe32f96ed8879dcc2462119225bf4d6dbae18e428096ba4cd8a7,10024550,10024550,R2,1,Appleton,Southwire Store,PO Box 2017,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S9,C,WI,54913
126c0928020b4e9443c5efadbca295d30cd4575fa00919d299f41d457e7f6cb5,10021673,10021673,R3,1,Grand Rapids,Patient Shop,2700 Northern Drive South East,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S1,C,MI,49512
128a5881180cf9ab6c3d5d927408a81baa70a6d0ac25dd99717fd2b384d5a1a9,10015783,10015783,R3,1,Philadelphia,Hershey Supermarket,Attention: Anna Markert,3111 W Allegheny Avenue,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S1,I,PA,19132
1301220db2834d9c9b9737e6393eab9cd244e425f6c17e3b0df86cd01fc22967,10020864,0,R2,1,Não informado,One Store,Não informado,Não informado,Não informado,Não informado,G2,Não informado,1,International,Não informado,816-455-8733,S1,C,Não informado,0
13049ad45ef6bd2c6b6b0c2f2ac02eb0806169bbe75aa89b58dca8a89553be86,10018950,0,O2,1,Não informado,Kendrick Store,Não informado,Não informado,Não informado,Não informado,G2,Não informado,1,International,Não informado,816-455-8733,S12,C,Não informado,0
137076512739e0a2aef07f86f01dfec0e3746b2c16f1b6440c0a53b3f6e33a4b,10024016,10024016,R3,1,Kanagawa,Screen Supermarket,1-16-33 Kotsubo Zushi,Não informado,Não informado,Não informado,G1,AU,1,International,M1,816-455-8733,S19,C,Não informado,0
1414bf4b90ca3e539856bd68f28ddbc6964b8ea9f9b2ef9298f5f7f4a4f806e5,10014238,10014238,R3,1,2215 TC Voorhout,Harbor Store,S Gravendam Seweg 53,Não informado,Não informado,Não informado,G1,IR,1,International,M1,816-455-8733,S19,C,Não informado,0
141d774bbed462a73204e43425bf7cc866f681bf2c79e637dff32d29a6653f78,10024255,10024255,O2,1,Pontiac,Sigma Shop,Division Of Pontiac Michigan,17575 PP-CPDC,1251 Joslyn Road Dock 4,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S12,C,MI,0
1475c18ee925edcdedf4a81717053c6f054db6386c6acd296c35ce67e90da220,10003554,0,R3,1,Não informado,Ad Supermarket,Não informado,Não informado,Não informado,Não informado,G1,Não informado,1,International,M1,816-455-8733,S19,C,Não informado,0
14862f7ffff636754afd085e6a023d8555469daeac55c0b1f7d5a8e9693b313c,10010970,10010970,R3,1,Irving,EDP Shop,1477 E Highway 356,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S1,C,TX,75060
14a753a735ba41701d4c0a3c9a368b7994cf9a647c57d28ab301a751c4d293a6,10025304,10025304,R3,1,Não informado,UBF Shop,Não informado,Não informado,Não informado,Não informado,G2,UK,1,International,Não informado,816-455-8733,S16,C,Não informado,0
14c836a731a6351465cfaae835ddd92574610528bfb08ba94ed6db0734c4bd6f,10016303,10016303,R1,1,Buffalo,HMR Shop,60 Depot Street,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S20,C,NY,14206
14fe93e1d84c7d99cd00961f4ceb5104995785ce074a4b5da8c1088ad639b146,10020227,0,R3,1,Não informado,MaxBan Shop,Não informado,Não informado,Não informado,Não informado,G2,Não informado,1,International,Não informado,816-455-8733,S16,C,Não informado,0
159ba260ee1c4bc7970ec48c6e0aa8b43947a181c2abacedba106c9d9b7e637d,10019900,10019900,R3,1,Sacramento,LiveWire Supermarket,3248 Auburn Boulevard,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S16,C,CA,95821
15a19f0dce1d0bb4767d925c36d0d4406b7671d4015513c44c6ad7b1a5667910,10011089,0,R2,1,Não informado,Embedded Supermarket,Não informado,Não informado,Não informado,Não informado,G3,Não informado,1,International,Não informado,816-455-8733,S8,C,Não informado,0
15c1deda52dd19946bf7f4e52e9088f40e96339287e4c8495c25a09716e3379d,10025033,10025033,R3,1,Billings,Tally Store,226 North 13th,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S16,C,MT,59101
16058c724be67151da866b8ab1e1d96980ba910fb4cde6976b7dcc52df390369,10012885,0,R3,1,Não informado,Gainunion Shop,Não informado,Não informado,Não informado,Não informado,G2,Não informado,1,International,Não informado,816-455-8733,S16,C,Não informado,0
1610c56736267a90db82aa982c7646a6730febc994e0ca1329538239143f3d52,10002526,10002526,R3,1,EE 0026 Tallinn,Active Shop,Kadaka Road 72 a,Não informado,Não informado,Não informado,G1,UK,1,International,M1,816-455-8733,S19,C,Não informado,0
1719762da869b1231b90a0f1b2a46a36ab1032c86c27eb7b3f06a15536ca5bee,10005922,0,R3,1,Não informado,Big Supermarket,Não informado,Não informado,Não informado,Não informado,G2,Não informado,1,International,Não informado,816-455-8733,S1,C,Não informado,0
174ba9c0ae8ddc156036f9091b5c459222ccdc6d811288d0ef6be67700bc7db7,10020849,0,R3,1,Não informado,OnDeck Store,Não informado,Não informado,Não informado,Não informado,G2,Não informado,1,International,Não informado,816-455-8733,S1,C,Não informado,0
18136bcdedd9e28de709081e1bcc4ca7840e37a3e72647ae223277f47a0fd707,10012514,0,R2,1,Não informado,Firehole Shop,Não informado,Não informado,Não informado,Não informado,G2,Não informado,1,International,Não informado,816-455-8733,S5,C,Não informado,0
188505997347a2a4c2e7858fb9e2e8c61da78a9d523a7eef4eb68228e08349ec,10022490,10022490,R3,1,Overland Park,Racal-Datacom Shop,Attention  Accounts Payable Department,PO Box 12990,Não informado,Não informado,G2,US,2,Domestic,M1,816-455-8733,S16,C,KS,0
1894dbfd89bb92de8d2458544bd94ddc5ba8495f2a1abf854b4e75c84f57b8c6,10025032,10025032,R3,1,Montreal,Talkland Shop,c/o Rampar International Trade Corp.,6260 Place Northcrest Suite 305,Não informado,Não informado,G1,CA,1,International,M1,816-455-8733,S19,C,QU,0
18a517a23fd375a34462caee738814505fb781851d88471caa1279ae1288f0d2,10005810,0,R3,1,Não informado,Big Shop,Não informado,Não informado,Não informado,Não informado,G1,Não informado,1,International,M1,816-455-8733,S19,C,Não informado,0
18c43b35aa82c798fe9db71f0017b3d9a76287eea84d64bedeb6115d30c17148,10007577,10007577,R3,1,Stewartsville,Cam-Built Supermarket,2621 State Route 57,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S1,C,NJ,8886
18c8fac400d8595e398fafc268a1dc0fdb49f6d625f8712116d3bae06825b3ef,10025758,10025758,R3,1,Oklahoma City,UTStarGate Shop,4532 Enterprise Drive,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S16,C,OK,73128
1982473a4ad440de5eb42d40ae8f6f30e6d42817eddb480c12564d9e9eb5d6c4,10007121,10007121,R3,1,St Louis Park,C Market,5711 West 36th Street,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S16,C,MN,55416
198aa2dc419e2ca4e7f7660fe8b97233c922cb8ce1be8e28d9c4ee11e41d0410,10021911,10021911,R3,1,Tupelo,PING Shop,PO Box 2187,Não informado,Não informado,Não informado,G1,US,2,Domestic,M1,816-455-8733,S19,C,MS,0
19a867804314028b94ab5dd4905d9ab41be2b50ef4c01552b7d066abdbaa3f91,10012305,0,R3,1,Não informado,FIND/SVP Shop,Não informado,Não informado,Não informado,Não informado,G2,Não informado,1,International,Não informado,816-455-8733,S9,C,Não informado,0
19a87a8447bd17b0fd9b2a4f3b55f4f1d573c104bc7a1925ca1e52051ed611be,10025495,10025495,R3,1,Birmingham,UniForum Shop,PO Box 100603,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S5,C,AL,35210
19ab698f28ed1dc219413a6533b534a01628ea5072b987ed23bdfe25688dcff9,10013312,0,R2,1,Não informado,Gate9th Shop,Não informado,Não informado,Não informado,Não informado,G2,Não informado,1,International,Não informado,816-455-8733,S9,C,Não informado,0
1a64c6f40b507fd3d68326e8ed1efb29db8c040751d1f5e46741089d4eb453c4,10000455,10000455,R3,1,Huntington Beach,Caribian Supermarket,7392 Count Circle,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S16,C,CA,92647
1a97aa7f674543404c5a99ba763d9c67388610c8fa925810b9f7060fd519b4ed,10007309,10007309,R3,1,Não informado,Cadtex Shop,Limited Reg Number 28388,40 Devil's Tower Road,PO Box 176,Não informado,G1,UK,1,International,M1,816-455-8733,S19,C,Não informado,0
1ab94c03842aeb55a3d99ed116f63fdc5c1fd7f6bb6d7d3d98a1bfdb4f913e7d,10021911,10021911,R3,1,Te Rapa Hamilton,PING Shop,Cnr Avalon Drv & Tasman Road,PO Box 20077,Não informado,Não informado,G1,US,2,Domestic,M1,816-455-8733,S19,C,MS,0
1d0defb5954a94eb53d0d87885ed7e05003bbf44ac665f273d1411420200936d,10010923,10010923,O2,1,Seocho-GU,Edmark Shop,231 Yangjae Dong,Não informado,Não informado,Não informado,G1,AU,1,International,Não informado,816-455-8733,S1,C,Não informado,0
1d6268a535488434d1541325db9b798c8aaff424fec7df484f40db3cc219af60,10012399,0,R3,1,Não informado,Finisar Shop,Não informado,Não informado,Não informado,Não informado,G2,Não informado,1,International,Não informado,816-455-8733,S1,C,Não informado,0
1d65533bfbf0b07605796a49e6ccc7c8cbb1568fef90558f056a26ef2bf18c0f,10015793,10015793,R3,1,Sacramento,Hetrick Supermarket,3248 Auburn Boulevard,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S16,C,CA,95821
1e28862851c5e65982af4ba8c98236846ac1f0a2d6b57e48795d64c6e2665945,10019783,0,R3,1,Não informado,Levi Supermarket,Não informado,Não informado,Não informado,Não informado,G1,Não informado,1,International,M1,816-455-8733,S18,C,Não informado,0
1f2f89a53f3348daff4640ad71cddd118ce3b148415bec75ae384954127485f1,10015325,0,R2,1,Não informado,Helius Shop,Não informado,Não informado,Não informado,Não informado,G2,Não informado,1,International,Não informado,816-455-8733,S5,C,Não informado,0
1f61a4678b2c732cedec93e4bf71749818ace30c3a9363886d40ae0c5c832493,10012851,0,R3,1,Não informado,Gailey Market,Não informado,Não informado,Não informado,Não informado,G2,Não informado,1,International,Não informado,816-455-8733,S1,C,Não informado,0
2087241800269fc5acbd82910525dec84fe343e93395eaf3efe7be6a81ead2ce,10000499,0,R3,1,Não informado,ABSolute Shop,Não informado,Não informado,Não informado,Não informado,G2,Não informado,1,International,Não informado,816-455-8733,S16,C,Não informado,0
213d274f0bd028e51c2b79f4b4ea874afd3cb8fccd45970708fd5764788820ff,10002137,0,R3,1,Não informado,Accidental Shop,Não informado,Não informado,Não informado,Não informado,G2,Não informado,1,International,Não informado,816-455-8733,S16,C,Não informado,0
21bcc73a10ff4d0adfa79a16f3ee13ca6d7171933973f6ff8509475a15b4442e,10022732,10022732,R2,1,Lake Hamilton,RC Market,PO Box 900,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S5,C,FL,33851
22107296493141a352b107e9b55673e4aa4bcc2b23ef92bb8f3d7cca35c67d7d,10017553,10017553,R2,1,Ottawa,iLanguage Shop,PO Box 660,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S5,C,KS,0
2238cff86368e360a9ce8e5dabac78b459d2c43dad0a8d6bb6a73572b6b62b77,10026023,0,R3,1,Não informado,VEI Shop,Não informado,Não informado,Não informado,Não informado,G2,Não informado,1,International,Não informado,816-455-8733,S15,C,Não informado,0
227bf90c2daebbd386af87c87fe336a61822f0d355eab910074f77ad7f3a7d31,10007566,10007566,R2,1,St Joseph,Cambio Shop,2106 South Riverside Road,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S9,C,MO,0
23072ad5a07467bfde22a8df78b0bf301c2292f7aad0686e7fc67ebe1a90757c,10013765,10013765,R3,1,St Louis,Gemini Supermarket,5821 Hampton Avenue,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S16,C,MO,63109
25584a035c57cf7f5919e8e312369b748cfdd489cd5f90ba2b5702fa57b55076,10023495,0,R3,1,Não informado,Safe Shop,Não informado,Não informado,Não informado,Não informado,G1,Não informado,1,International,M1,816-455-8733,S19,C,Não informado,0
257f60cbab58726f76d16d48c99183e0cbaecd44777ac7fde00da4289aab511a,10024499,10024499,R3,1,Houston,Soloman Market,8302 Jet Pilot,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S16,C,TX,77075
26e9ce0b1b74c5de56b8c927c7162a239618b3da149f7452d5f38e38195b7585,10019400,10019400,R3,1,Valparaiso,Keystar Superstore,861 West US Highway 30,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S1,C,IN,46385
2788ba37aa53fff05f644ba9a47de76a5da00c1ee3559a420ebcc24d7ac59bfa,10000466,10000466,R3,1,North Highlands,A2Z Store,3213 Orange Grove Avenue,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S16,C,CA,95660
28c5d204a0e43593205eb55dcffebc7aa873a498ba31d14793e7db1a26883240,10017585,10017585,R3,1,Milwaukie,Ilog Shop,11811 West Silver Spring Drive,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S16,C,WI,53225
293a1aa06b53a5e04f9b343e62383ef8370892ae0e0f2250476678f2f9a2f45c,10011979,10011979,R3,1,4100 Porto,FiberPlex Shop,Rua Eng Ferreira Dia 241-243,Não informado,Não informado,Não informado,G1,UK,1,International,M1,816-455-8733,S19,C,Não informado,0
2964d88e3069ffe510bb8f2276e84bed4ace003f967e144de1ac372698eeea34,10007448,0,R3,1,Não informado,Cajun Shop,Não informado,Não informado,Não informado,Não informado,G2,Não informado,1,International,Não informado,816-455-8733,S16,C,Não informado,0
29f85215fbc1451e56f29b281905a12ffc409dfad975df50b2c14917a824ca1e,10007123,10007123,R3,1,Little Rock,C Supermarket,PO Box 194255,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S16,C,AR,72219
2a2d108252134c908f4f22cd17bc9d744a9768fe64a77a88b57c62e334262a45,10011198,10011198,R3,1,Framingham,e-MDs Shop,703 Waverly Street,Route 135,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S1,C,MA,1702
2a9747288eaeee4b36a438ddbf3c6160054972b28e4c675ab2a9da4ffb473ddb,10024270,10024270,R3,1,Maxwell,Signatures Superstore,PO Box 1010,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S4,C,CA,95955
2ad2a46dd5041729b74e2e195fae4466a956d3f9c2b9c111814e917e872572af,10003857,0,R3,1,Não informado,Beckman Market,Não informado,Não informado,Não informado,Não informado,G2,Não informado,1,International,Não informado,816-455-8733,S1,C,Não informado,0
2af86b5f057a39365e1cff224166a9811b736e106ff9e2cd0729623b296432fb,10025418,0,R2,1,Não informado,Ultra-Image Shop,Não informado,Não informado,Não informado,Não informado,G2,Não informado,1,International,Não informado,816-455-8733,S3,C,Não informado,0
2b0f0b9dc7bb27b0e13469c811d839c5bd4bb0ca14dbd10d6160d2dda7f1587c,10019897,10019897,R3,1,El Paso,Livermore Store,7210 Gateway East,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S16,C,TX,79915
2b9ab25782396926f7e2cc10eea27b9606a0d932a1b7d24d1ac07e4c30917760,10024915,0,R3,1,Não informado,Systems Store,Não informado,Não informado,Não informado,Não informado,G1,Não informado,1,International,M1,816-455-8733,S16,C,Não informado,0
2bf26208e3258b2b15657fb0bc7e3f961075915912f00040b4b949f80b0a621b,10025558,10025558,R3,1,Little Rock,Unisys Shop,6104 Young Road,Não informado,Não informado,Não informado,G2,US,2,Domestic,Não informado,816-455-8733,S1,C,AR,72209
