business_family;business_unit;costumer;costumerkey;costumer_type;division;line_of_business;phone;region_code;regional_sales_mgr;search_type;division_name;region_name;address_number;city;country;costumer_address_1;costumer_address_2;costumer_address_3;costumer_address_4;state;zip_code;PK_CLIENTE
R2;1;Abbotsbury Shop;10000480;G2;2;\"\";816-455-8733;1;S5;C;Domestic;Western;10000480;Phoenix;US;Attention: Accounts Payable;PO Box 21502;\"\";\"\";AZ;"";5e73f0b996a575babcf276897e28496fe7c33d872b9ea9095943c399f7a8d806
R2;1;Abbott Shop;10000481;G2;2;\"\";816-455-8733;4;S5;C;Domestic;Central;10000481;Chicago;US;Box 5516;\"\";\"\";\"\";IL;60680;5675dcde51c3d3d30acb105e119ff25380667bc58659a588e331c56f049205fe
R3;1;Aberdeen Shop;10000486;G2;1;\"\";816-455-8733;5;S14;C;International;International;"";"";"";"";"";"";"";"";"";e0e065c191d785f8f6bbda85846cdfc7a09ebcae3bdaad9ccb90f8b53c5b1c2f
R3;1;ABI Supermarket;10000488;G1;1;M1;816-455-8733;5;S19;C;International;International;"";"";"";"";"";"";"";"";"";a139339b6352fe2767eff500be990e2e8e7ecd74ffed1a8536b58321e065af5a
R3;1;AboveNet Shop;10000496;G2;1;\"\";816-455-8733;5;S9;C;International;International;"";"";"";"";"";"";"";"";"";845821ce29d6a50b732b3de2ad4a65ea48b92faf661500475dabc3fddf6da50e
R3;1;Abplus Shop;10000497;G1;1;\"\";816-455-8733;5;S16;C;International;International;"";"";"";"";"";"";"";"";"";f309cb9fdeedf00700184b7a513548dd8d3baadc89cd71760b794785a1e62dbb
R3;1;ABSolute Shop;10000499;G2;1;\"\";816-455-8733;5;S16;C;International;International;"";"";"";"";"";"";"";"";"";2087241800269fc5acbd82910525dec84fe343e93395eaf3efe7be6a81ead2ce
R3;1;Absolute Supermarket;10000501;G3;1;\"\";816-455-8733;5;S5;C;International;International;"";"";"";"";"";"";"";"";"";b9fae7fe0757879b76eac1f0cd573e527bde8b54c290e187be59158dd829f60c
R3;1;Abstract Shop;10000502;G1;1;M1;816-455-8733;5;S19;C;International;International;"";"";"";"";"";"";"";"";"";8bfa59a4d53bc5850903f3bf4201bce639bbf44db451984d3863c9bc810aae6c
R2;1;Radio Market;10000601;G2;2;\"\";816-455-8733;2;S5;C;Domestic;Southern;10000601;Creedmoor;US;1550 Aereli Avenue;\"\";\"\";\"\";NC;27522;7b8f82c943eb2bd61aba19583cbf85acc0f46bd83a019b5d063b4dbf27624cc4
R3;1;AC Store;10001103;G2;1;\"\";816-455-8733;5;S16;C;International;International;"";"";"";"";"";"";"";"";"";8db4988382a15055c24866cbab5b58bf57b9c640485a8ea9c00aca40854550af
R3;1;AC&E Shop;10001263;G1;1;M1;816-455-8733;5;S19;C;International;International;"";"";"";"";"";"";"";"";"";868119888bb0069387256e5ecc8ff25894c70f46bf155d53b3699bcd6756f066
R2;1;Acacia Shop;10001784;G2;1;\"\";816-455-8733;5;S11;C;International;International;"";"";"";"";"";"";"";"";"";f36fc293033a4d901a79ab829416089739cc40fe5e39b4f7652dd793bdec1d46
R3;1;Acara Shop;10001786;G2;1;\"\";816-455-8733;5;S16;C;International;International;"";"";"";"";"";"";"";"";"";6db6a8df607d466d9ae85ddbbe1e71c5292279950f75e499ac7c457e157a489c
R3;1;Acc Supermarket;10001818;G2;1;\"\";816-455-8733;5;S16;C;International;International;"";"";"";"";"";"";"";"";"";9192d67527db33cb3a9f91fc50b3b5127a98159dfdebd263f86a2f019718de87
R3;1;Accel Supermarket;10002114;G2;1;\"\";816-455-8733;5;S1;C;International;International;"";"";"";"";"";"";"";"";"";8febce7e1e203f9b92b379121df3f55feaabf94eb573bce3c90d06559b514255
R3;1;Accent Store;10002115;G1;1;M1;816-455-8733;5;S19;C;International;International;"";"";"";"";"";"";"";"";"";9583375350561bc2262ced00d4f118dc3cd0e9ba5c9fb07ff6736827d3237e94
O2;1;Accent Market;10002117;G1;1;\"\";816-455-8733;5;S1;C;International;International;"";"";"";"";"";"";"";"";"";34c19aa9cacd5e36463c59c58ed48e6913835afb4761a2e90ad25ee20561ad04
R3;1;Access Store;10002128;G1;1;M1;816-455-8733;5;S19;C;International;International;"";"";"";"";"";"";"";"";"";0ce9b0218835b1ce38359265b6758a821835bf65563e73f3eee670ace1101e2b
R3;1;AccessWare Shop;10002136;G1;1;M1;816-455-8733;5;S20;C;International;International;"";"";"";"";"";"";"";"";"";0211d0e745788c7a8e01ec8d059941bc5408560188dae3ec766296f88fa3480e
R3;1;Accidental Shop;10002137;G2;1;\"\";816-455-8733;5;S16;C;International;International;"";"";"";"";"";"";"";"";"";213d274f0bd028e51c2b79f4b4ea874afd3cb8fccd45970708fd5764788820ff
R3;1;ACCPAC Store;10002138;G2;1;\"\";816-455-8733;5;S16;C;International;International;"";"";"";"";"";"";"";"";"";bccb2b90c5b498294299bd9e21e303436de0d5799de5f45917df384cc4e5a965
R1;1;Accrue Shop;10002139;G2;1;\"\";816-455-8733;5;S11;C;International;International;"";"";"";"";"";"";"";"";"";8767cac8d2fd1c6c2620caf4dd0dfc2c83fc4e8b37b5d9290e9cd511ed37342d
R3;1;Accton Shop;10002140;G2;1;\"\";816-455-8733;5;S16;C;International;International;"";"";"";"";"";"";"";"";"";c7579b8c3c403b366d5d27ebda6bdaf5acaaca264b6b2b84947d186408046234
R2;1;AccuCom Shop;10002142;G2;1;\"\";816-455-8733;5;S5;C;International;International;"";"";"";"";"";"";"";"";"";e9f9c47336435bc71efb61fd0e4cde2290b0a37b1a7e4e7c0a5945718893093e
R2;1;ACCUCOMP Shop;10002144;G3;1;\"\";816-455-8733;5;S8;C;International;International;"";"";"";"";"";"";"";"";"";afa0ff3a94be4be5d2117f3f7e02a94bbbfcf39f0e63d3b10f709efc7bea468f
R3;1;AccuLAN Shop;10002149;G2;1;\"\";816-455-8733;5;S16;I;International;International;"";"";"";"";"";"";"";"";"";b7aa99d67efac324ecf2bee4935f3e92206620c3ad7f95d5ab7add1fd04d75a9
R3;1;Accumedic Store;10002150;G2;1;\"\";816-455-8733;5;S16;C;International;International;"";"";"";"";"";"";"";"";"";46568954263f9a3c46ccf3c06f5becf171504d18cef2cae3e77ff9c82b7c2b35
R2;1;Ace Market;10002153;G2;1;\"\";816-455-8733;5;S5;C;International;International;"";"";"";"";"";"";"";"";"";7a1bcb117983569d11780b2fc695cb774bb6de8a91a444d1dee2db8893a5a5e1
R2;1;Acer Superstore;10002154;G3;1;\"\";816-455-8733;5;S8;C;International;International;"";"";"";"";"";"";"";"";"";9982be33cfc5ce5996ed3f01e6c720a578c784814ba7d092e3a587d8201ba0f1
R3;1;ACES Supermarket;10002155;G1;1;M1;816-455-8733;5;S18;C;International;International;"";"";"";"";"";"";"";"";"";a074f2b6d38c4dfd9d8d181d6d1690cdcbaafca01f26bf9a78b1f815b7982f49
R3;1;ACI Shop;10002159;G1;1;M1;816-455-8733;5;S19;C;International;International;"";"";"";"";"";"";"";"";"";cc559c93bece471405856edaa8fa6d1af312ec21abd6b8f5a00714790f8022ae
R2;1;ACME Maxiplace;10002161;G2;1;\"\";816-455-8733;5;S4;C;International;International;"";"";"";"";"";"";"";"";"";f36dbe0ee7dc3098a6c1c8514310e885947c611668b365be90ba7785ff7d6cd5
R3;1;ACRON Shop;10002220;G3;1;\"\";816-455-8733;0;S5;C;International;Canada;10002220;Prince George;CA;1594 Nicholson Street;\"\";\"\";\"\";BC;"";83295510b50020c65570988c7065dbdb3958ffbad94e86f6a39d48f16e4a30b9
R3;1;ACS Shop;10002240;G2;2;\"\";816-455-8733;3;S1;C;Domestic;Northeast;10002240;Medford;US;50 Mystic Avenue;\"\";\"\";\"\";MA;2155;c625182b0d90c893dcdb1a9ce6f2ec015abe3bdc7efcc007548260b4fe1a7549
O2;1;ACS Market;10002244;G2;2;\"\";816-455-8733;2;S12;C;Domestic;Southern;10002244;Statesville;US;Spicer Clark - Hurth Off Highway Div;1293 Glenway Drive;\"\";\"\";NC;28625;61026b51b9182f0a118bd2b9861c1cac42238929672794e23818815d8d8afc13
R3;1;Acsior Shop;10002412;G1;1;M1;816-455-8733;5;S19;C;International;International;"";"";"";"";"";"";"";"";"";999b9025acc3eb97c37498f8ba8e0d510cb13ac4090cc8a70faa2943d0568e70
R3;1;ACT Supermarket;10002489;G2;2;\"\";816-455-8733;2;S16;C;Domestic;Southern;10002489;Villa Rica;US;PO Box 266;\"\";\"\";\"\";GA;"";e5a192cff455a45c36960bde03d69a5924449ace4ecd761203e28e04403d7063
R3;1;Action Supermarket;10002501;G1;1;\"\";816-455-8733;5;S19;C;International;International;10002501;\"\";UK;\"\";\"\";\"\";\"\";"";"";64d615d6fdcd8eb36c4a94eb5e3b3a5fcc7c89205443a6d1018ca3ea56748456
R3;1;ActionWorld Shop;10002506;G2;2;\"\";816-455-8733;1;S16;C;Domestic;Western;10002506;Salt Lake City;US;Attention: Doris Nielson;PO Box 26005;\"\";\"\";UT;84126;9b07ee9028fc7da53b623cefd7d460d4ff1b28c2b811a0810448cd57e2b98f2a
R3;1;ActivCard Shop;10002520;G1;1;M1;816-455-8733;5;S19;C;International;International;"";"";"";"";"";"";"";"";"";bd76fb3f3ba187ca80f88c305cfe59ef90de759774bc301ed921e5d1699a6dbf
R3;1;Active Shop;10002526;G1;1;M1;816-455-8733;5;S19;C;International;International;10002526;EE 0026 Tallinn;UK;Kadaka Road 72 a;\"\";\"\";\"\";"";"";1610c56736267a90db82aa982c7646a6730febc994e0ca1329538239143f3d52
R3;1;Active Store;10002709;G2;2;\"\";816-455-8733;1;S1;C;Domestic;Western;10002709;Albany;US;PO Box 99;\"\";\"\";\"\";OR;97321;4455750954772a7abfe4ed2c841d56044af81c7b93beb59db24de0da0dd13b59
R3;1;Active Supermarket;10002746;G2;2;\"\";816-455-8733;4;S9;C;Domestic;Central;10002746;Bensonville;US;1200 North Ellis Street;\"\";\"\";\"\";IL;"";43ebc71061ced88fc3711b4cb8496e3d6fdee87b9226e6f14cd5bf80b0bdb8db
R3;1;Active Store;10002765;G2;2;\"\";816-455-8733;2;S16;C;Domestic;Southern;10002765;Hialeah;US;4760 NW 165th Street;\"\";\"\";\"\";FL;33014;4046df4dce2fa0fac37dce8ece6504c77652917a4d3bed33fbf28d084fa7d732
R3;1;ActiveC Shop;10002964;G3;1;\"\";816-455-8733;0;S17;C;International;Canada;10002964;Edmonton;CA;7223 Girard Road;\"\";\"\";\"\";AB;"";986d0efde5bef0c53e0ac18bf31fb33695e867ac2b942c91b7dc6dcbf2395feb
R3;1;activeDesign Shop;10002969;G2;2;\"\";816-455-8733;3;S1;C;Domestic;Northeast;10002969;Manassas;US;12000 Balls Ford Road;\"\";\"\";\"\";VA;20109;d3296cd226787c897b3ceeb74dd38d9a3b72bc2612913f1557b1750904b45ea4
R3;1;Ad Supermarket;10003554;G1;1;M1;816-455-8733;5;S19;C;International;International;"";"";"";"";"";"";"";"";"";1475c18ee925edcdedf4a81717053c6f054db6386c6acd296c35ce67e90da220
R3;1;Ad-vantage Shop;10003687;G2;1;\"\";816-455-8733;5;S1;C;International;International;"";"";"";"";"";"";"";"";"";b0c11a84af77b5c0e54633af7eefabb1f4a50ad45981ce937fefe3c31b7e0670
R2;1;Age Shop;10003720;G2;2;\"\";816-455-8733;3;S5;C;Domestic;Northeast;10003720;Hermitage;US;2755 Kirila Boulevard;\"\";\"\";\"\";PA;16148;2e95e49fcf28545a2c59dd2aff4dc0c52f443b7690ca3a8dea6d3f599e032ec0
R3;1;Associates Shop;10003749;G1;1;M1;816-455-8733;5;S19;C;International;International;"";"";"";"";"";"";"";"";"";0b453b1633ba9c70e3a0e700adc2988a480aac9cbcf245927708ec1f72c4dd33
R3;1;Bechtel Supermarket;10003795;G2;2;\"\";816-455-8733;2;S16;C;Domestic;Southern;10003795;Baton Rouge;US;PO Box 2484;\"\";\"\";\"\";LA;70815;f9a649670bf86ef933b72e53aff525f85c07ed880d3876012fca7b76e7a5ea83
R3;1;Beckman Market;10003857;G2;1;\"\";816-455-8733;5;S1;C;International;International;"";"";"";"";"";"";"";"";"";2ad2a46dd5041729b74e2e195fae4466a956d3f9c2b9c111814e917e872572af
R3;1;Beech Supermarket;10003882;G2;1;\"\";816-455-8733;5;S16;C;International;International;"";"";"";"";"";"";"";"";"";fd662a460998bcb39366dfe4e10e6ebfe0f0d40b9a9c0109816b1472a4e19810
R3;1;Bell Store;10004207;G1;1;M1;816-455-8733;5;S19;C;International;International;"";"";"";"";"";"";"";"";"";65a58fbfe7fce7c79b0ec1685d374a28ecd38298a11248d8ff84a27b1c6f55a5
R2;1;Bens Megaplace;10004245;G2;2;\"\";816-455-8733;1;S3;C;Domestic;Western;10004245;Portland;US;4747 N Channel Ave;\"\";\"\";\"\";OR;"";2ee7982e54129a363961a58d185b5ffda162f54147f17d213af30dfad4f13a7f
R3;1;Bendix Store;10004255;G1;1;M1;816-455-8733;5;S19;C;International;International;10004255;Seoul;AU;3F Shinwoo Building;195-12 Poi-Dong Kangnam-KU;\"\";\"\";"";"";46a65a888c2d7803f522c72848534aaa038dec2a8a87a2b98b68502a9a5f76d4
R3;1;Benedict Shop;10004256;G2;2;\"\";816-455-8733;1;S16;C;Domestic;Western;10004256;Portland;US;PO Box 20505;\"\";\"\";\"\";OR;97294;72ac91b26653d218992c4267360d169ec9a602912db4eac38f45ebf42eb994b0
R3;1;Berkeley Supermarket;10004302;G2;2;M1;816-455-8733;2;S1;C;Domestic;Southern;10004302;Baton Rouge;US;9555 Airline Highway;\"\";\"\";\"\";LA;70815;041f26d942c48814233bceaed936984c4b3cd4e3b2ffa7c14514407a7e20ca7c
R3;1;Besicorp Shop;10004516;G1;1;M1;816-455-8733;5;S19;C;International;International;10004516;Lighthorne Warwick;UK;Vehicle Operations;Building 540 53G/23/1;Banbury Road;\"\";"";"";89f0fcea732ac97689655f7a5b66800383ea137cfe539bcd817c1cc6a6d21c40
R3;1;Best Supermarket;10004602;G2;1;\"\";816-455-8733;5;S16;C;International;International;"";"";"";"";"";"";"";"";"";7c85cb56cef1d2e823d84a955ee9c6267a917645319003b8faa60acdc5f6164d
R1;1;Betacorp Shop;10005006;G2;2;\"\";816-455-8733;1;S11;C;Domestic;Western;10005006;Boise;US;601 East Gowen Road;\"\";\"\";\"\";ID;83716;fa2b1d9498cd69655a3d3f6a28c4addd5011b3a7985423e74ce79179637c9425
R3;1;Bezeq Shop;10005043;G1;1;M1;816-455-8733;5;S18;C;International;International;10005043;San Jose;UK;Paseo Colon Calles 34-36;\"\";\"\";\"\";"";"";ee2037a47322193dbb9e49b1dd07c2f2be97321889c0fc46145e3bc17a20a6e3
R3;1;BF Supermarket;10005099;G2;1;\"\";816-455-8733;5;S16;C;International;International;"";"";"";"";"";"";"";"";"";6ba62ddf21c602bd1047a8ff88438a313b13abc6561cb1f9aaa18204cd929b45
R3;1;BH Supermarket;10005236;G2;1;\"\";816-455-8733;5;S16;C;International;International;"";"";"";"";"";"";"";"";"";73891076adcd5db42d3b64bb59bd2aaad9598175f810e56d20172be3a2d1116d
R3;1;Bibb Store;10005376;G2;1;\"\";816-455-8733;5;S1;C;International;International;"";"";"";"";"";"";"";"";"";ea08a898ea34c9b83468e3cce2f73e67e555cd210f3c835611ca98d6b34ca9ac
R3;1;BidCast Shop;10005620;G2;1;\"\";816-455-8733;5;S1;C;International;International;"";"";"";"";"";"";"";"";"";2e88a47d59e718be73cbe3361e3550b090028f53b28d3110ce4329e8847db16e
R3;1;Bien Supermarket;10005688;G2;1;\"\";816-455-8733;5;S9;C;International;International;"";"";"";"";"";"";"";"";"";779e22a670c35fb94427045f3b6ceed38bc1c62fcbf2b8c4b1766ff022debf07
R3;1;Big Shop;10005810;G1;1;M1;816-455-8733;5;S19;C;International;International;"";"";"";"";"";"";"";"";"";18a517a23fd375a34462caee738814505fb781851d88471caa1279ae1288f0d2
R3;1;Big Supermarket;10005861;G1;1;M1;816-455-8733;5;S19;C;International;International;"";"";"";"";"";"";"";"";"";6b27d6ead516e1ab83f71fc8e6ea4e837f67954137155b41dc33b488417ec877
R3;1;Big Store;10005919;G2;1;\"\";816-455-8733;5;S4;C;International;International;"";"";"";"";"";"";"";"";"";decdee6b17314ad1ee17530345bdee7878eed096d81a2cc8a89e582fc45e7002
R3;1;Big Supermarket;10005922;G2;1;\"\";816-455-8733;5;S1;C;International;International;"";"";"";"";"";"";"";"";"";1719762da869b1231b90a0f1b2a46a36ab1032c86c27eb7b3f06a15536ca5bee
R3;1;Bigelow Store;10006037;G1;2;\"\";816-455-8733;2;S16;C;Domestic;Southern;10006037;Miami;US;7225 NW 25th Street;\"\";\"\";\"\";FL;33122;876d0e32b006fb0841af71347e6839bc2b0bbff42779a8fd15deff76f56082f3
R3;1;BigJobs Shop;10006093;G2;2;\"\";816-455-8733;4;S9;C;Domestic;Central;10006093;Evansville;US;PO Box 5364;\"\";\"\";\"\";IN;"";a569b67725bdd22e8df6e4a7b9415fa18b94e6b4fed72485f6c9ad59978ce93c
R3;1;Bitstream Shop;10006805;G1;2;\"\";816-455-8733;2;S16;C;Domestic;Southern;10006805;Miami;US;1801 NW 82nd Ave;\"\";\"\";\"\";FL;33126;b555c924fb31dc2ebfed14a567196ca48c24e760dec9e885026d1c8468c568df
R3;1;Biz-comm Shop;10006836;G1;1;M1;816-455-8733;5;S16;C;International;International;10006836;Quito;UK;AV 6 DE DICIEMBRE;N47225 Y Samuel Fritz;\"\";\"\";"";"";ed072430259a8c3a416683a06c6fd40fb46d3a2103e17686458c2aed454b7439
R3;1;Bizmarts Shop;10006846;G2;2;\"\";816-455-8733;1;S1;C;Domestic;Western;10006846;Modesto;US;1023 Kansas Avenue;\"\";\"\";\"\";CA;95351;47c3355de54072c156008cb841fab7013fecc898c7949acf454fdea902f7401b
R3;1;BizNet Supermarket;10006848;G2;2;\"\";816-455-8733;3;S1;C;Domestic;Northeast;10006848;Fredericksburg;US;1101A Potomac Avenue;\"\";\"\";\"\";VA;22405;93f3d247f6db4851ec0f32feaf7567d968a10b1b09197c5b540836987386231c
R3;1;BL Supermarket;10006862;G2;2;\"\";816-455-8733;2;S1;C;Domestic;Southern;10006862;Pearl;US;4410 Highway 80 East;\"\";\"\";\"\";MS;39209;e4e331d19c104eb8669f96737b7dfff171f13087fda2d8c039ef5f67a456a689
R3;1;Boott Store;10006916;G2;1;\"\";816-455-8733;5;S16;C;International;International;"";"";"";"";"";"";"";"";"";a3e813b9c003ef4b03ad674972d9ec9f1d5968525b3e06376f10e58549e1b31a
R3;1;Borden Supermarket;10006917;G2;1;\"\";816-455-8733;5;S1;C;International;International;"";"";"";"";"";"";"";"";"";040d2cb20227f0fe20ffe937a17688ee466ced32c02c2728573fe5d99ce5d6bd
R3;1;Hoovey SuperStore;10006919;G1;1;M1;816-455-8733;5;S19;C;International;International;"";"";"";"";"";"";"";"";"";d7be74081fc0a46a31efb2ab7abd88a52e1e976292921cea45010a5a185dcd6a
R3;1;Brazilian Supermarket;10006977;G2;1;\"\";816-455-8733;5;S16;C;International;International;"";"";"";"";"";"";"";"";"";7967c2149b533ade1f1d57f1c8197b3dbf53d74e47d536610b9cc87d515f8a2e
O1;1;Brentano's Shop;10006983;G2;1;\"\";816-455-8733;5;S5;C;International;International;"";"";"";"";"";"";"";"";"";afe92a4ee2ab8c70d749f7aeddbc5b0588ca088e542dd41d2503515978bcb55f
R3;1;Bre-X Shop;10007117;G1;1;M1;816-455-8733;5;S19;C;International;International;10007117;Taipei;AU;8F No.19 Chang Chun Road;\"\";\"\";\"\";"";104;54becfa2fc28ab56c3695a4288491e13639f7a509df358493f183f9ea45b98f5
R3;1;Brinco Store;10007120;G2;2;\"\";816-455-8733;1;S16;C;Domestic;Western;10007120;Rexburg;US;DBA Pronto Jobbers Warehouse;PO Box 409;\"\";\"\";ID;83440;a246056f6973259ac8f7b2934e026fbf288af60b763ffb5afbde6b6eae2dba80
R3;1;C Market;10007121;G2;2;\"\";816-455-8733;4;S16;C;Domestic;Central;10007121;St Louis Park;US;5711 West 36th Street;\"\";\"\";\"\";MN;55416;1982473a4ad440de5eb42d40ae8f6f30e6d42817eddb480c12564d9e9eb5d6c4
R3;1;C Store;10007122;G2;2;\"\";816-455-8733;2;S16;C;Domestic;Southern;10007122;Buda;US;22015 South I-35;\"\";\"\";\"\";TX;78610;4aaab2599b4ac080e34cd6e45545b61bf83983c048c309d361e12bb4618f090d
R3;1;C Supermarket;10007123;G2;2;\"\";816-455-8733;2;S16;C;Domestic;Southern;10007123;Little Rock;US;PO Box 194255;\"\";\"\";\"\";AR;72219;29f85215fbc1451e56f29b281905a12ffc409dfad975df50b2c14917a824ca1e
R3;1;C&C Shop;10007134;G2;1;M1;816-455-8733;5;S1;C;International;International;"";"";"";"";"";"";"";"";"";d28c07ab9b89cb2e1bff7708f48512968682112b497c8f2b22c303bca1f417c8
R3;1;C. Store;10007163;G1;1;M1;816-455-8733;5;S17;C;International;International;"";"";"";"";"";"";"";"";"";e277480923021f4e1248f4bcd80a328bc6cce2f4c9ecabd0db12c8ae33f14a28
R2;1;C.O.F. Shop;10007183;G2;1;\"\";816-455-8733;5;S3;C;International;International;"";"";"";"";"";"";"";"";"";90219ce9fce0b72b041ab9fc1464988e4aefc92f9dd4b9b55562bc73707df722
O2;1;C3 Supermarket;10007253;G2;1;\"\";816-455-8733;5;S12;C;International;International;"";"";"";"";"";"";"";"";"";e4be8c0457ba1b9c53c002f1e4519254bd5193bc9cdf74f84d6762e65e6c578a
R3;1;C3I Shop;10007258;G2;1;\"\";816-455-8733;5;S16;C;International;International;"";"";"";"";"";"";"";"";"";4f31015c6f458f506717f05cfa071680f7c62d6d5417b3bc2790b012e8110b86
R3;1;Cabco Supermarket;10007268;G2;1;\"\";816-455-8733;5;S11;I;International;International;"";"";"";"";"";"";"";"";"";06ef2084807094222c0485282161920291fc8e4ccaeaa4a33b34df2d9583fa7a
R3;1;Cadtex Shop;10007309;G1;1;M1;816-455-8733;5;S19;C;International;International;10007309;\"\";UK;Limited Reg Number 28388;40 Devil's Tower Road;PO Box 176;\"\";"";"";1a97aa7f674543404c5a99ba763d9c67388610c8fa925810b9f7060fd519b4ed
R3;1;CAF Market;10007355;G2;2;\"\";816-455-8733;2;S16;C;Domestic;Southern;10007355;Amarillo;US;3601 Amarillo Boulevard East;\"\";\"\";\"\";TX;79107;6e8b23a8ccaa7f1bf41ac953300770bc51919f81d0324ca232236ef57e023686
R3;1;Cajun Shop;10007448;G2;1;\"\";816-455-8733;5;S16;C;International;International;"";"";"";"";"";"";"";"";"";2964d88e3069ffe510bb8f2276e84bed4ace003f967e144de1ac372698eeea34
O2;1;CalComp Shop;10007457;G3;1;\"\";816-455-8733;5;S1;C;International;International;"";"";"";"";"";"";"";"";"";bb7da6256bc3bf84b65c65531508c61550464681dbc089f4e91e9a680b230281
R2;1;Caleidoscopio Supermarket;10007468;G2;1;\"\";816-455-8733;5;S9;C;International;International;"";"";"";"";"";"";"";"";"";fb70ed67f468f2f31df1de86c786d02672b80d23ed7a970c81126878b0d94f15
